frame.number|frame.interface_name|frame.time_epoch|_ws.col.ipsrc|_ws.col.ipdst|ip.src_host|ip.dst_host|tcp.stream|tcp.srcport|tcp.dstport|tcp.window_size|tcp.flags|tcp.option_kind|tcp.seq|tcp.len|tcp.ack|tcp.options.timestamp.tsval|tcp.options.timestamp.tsecr|mptcp.expected_token|mptcp.stream|tcp.options.mptcp.sendkey|tcp.options.mptcp.recvkey|tcp.options.mptcp.recvtok|tcp.options.mptcp.datafin.flag|tcp.options.mptcp.version|tcp.options.mptcp.subtype|tcp.options.mptcp.rawdataseqno|tcp.options.mptcp.rawdataack|tcp.options.mptcp.subflowseqno|tcp.options.mptcp.datalvllen|tcp.options.mptcp.addrid|mptcp.rawdsn64|mptcp.ack|mptcp.dsn|mptcp.related_mapping|mptcp.reinjection_of|mptcp.reinjected_in
409|any|1529916726.936352637|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|124237|908369550|182||1||||0||2||3018056667||||13300256311687443145|238514|1|||
410|any|1529916726.938690308|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|124237|2856|1|908369370|63||1||||0||2||3485921993||||6246007917517379983|1|416102|393||
411|any|1529916726.949209009|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|127093|908369562|192||1||||0||2||3018056667||||13300256311687443145|238514|1|||
412|any|1529916726.949211739|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|127093|2856|1|908369379|63||1||||0||2||3485921993||||6246007917517382839|1|418958|393||
413|any|1529916726.959990421|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|129949|908369573|194||1||||0||2||3018056667||||13300256311687443145|238514|1|||
414|any|1529916726.962541683|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|129949|2856|1|908369381|63||1||||0||2||3485921993||||6246007917517385695|1|421814|393||
415|any|1529916726.972672105|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|132805|908369586|205||1||||0||2||3018056667||||13300256311687443145|238514|1|||
416|any|1529916726.973108580|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|132805|2856|1|908369383|63||1||||0||2||3485921993||||6246007917517388551|1|424670|393||
417|any|1529916726.985907923|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|135661|908369597|214||1||||0||2||3018056667||||13300256311687443145|238514|1|||
418|any|1529916726.985912670|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|135661|2856|1|908369392|63||1||||0||2||3485921993||||6246007917517391407|1|427526|393||
419|any|1529916726.996153578|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|138517|908369609|217||1||||0||2||3018056667||||13300256311687443145|238514|1|||
420|any|1529916726.999140294|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|138517|2856|1|908369394|63||1||||0||2||3485921993||||6246007917517394263|1|430382|393||
421|any|1529916727.010636262|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|141373|908369623|229||1||||0||2||3018056667||||13300256311687443145|238514|1|||
422|any|1529916727.010635040|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|141373|2856|1|908369427|63||1||||0||2|3018251391|3485921993|141373|39984||6246007917517397119|1|433238|422||
423|any|1529916727.022461525|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|144229|2856|1|908369430|63||1||||0||2||3485921993||||6246007917517399975|1|436094|422||
424|any|1529916727.036428129|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|147085|2856|1|908369437|63||1||||0||2||3485921993||||6246007917517402831|1|438950|422||
425|any|1529916727.045605357|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|149941|2856|1|908369440|63||1||||0||2||3485921993||||6246007917517405687|1|441806|422||
426|any|1529916727.057343658|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|152797|908369669|207||1||||0||2||3018056667||||13300256311687443145|238514|1|||
427|any|1529916727.060402563|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|152797|2856|1|908369442|63||1||||0||2||3485921993||||6246007917517408543|1|444662|422||
428|any|1529916727.072651480|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|155653|2856|1|908369447|63||1||||0||2||3485921993||||6246007917517411399|1|447518|422||
429|any|1529916727.081879226|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|158509|2856|1|908369450|63||1||||0||2||3485921993||||6246007917517414255|1|450374|422||
430|any|1529916727.094301456|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|164221|2856|1|908369454|63||1||||0||2||3485921993||||6246007917517419967|1|456086|422||
431|any|1529916727.106087915|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369718|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
432|any|1529916727.106091972|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|167077|2856|1|908369457|63||1||||0||2||3485921993||||6246007917517422823|1|458942|422||
433|any|1529916727.118098716|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369730|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
434|any|1529916727.118105240|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|169933|2856|1|908369459|63||1||||0||2||3485921993||||6246007917517425679|1|461798|422||
435|any|1529916727.129901535|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369742|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
436|any|1529916727.129904708|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|172789|2856|1|908369461|63||1||||0||2||3485921993||||6246007917517428535|1|464654|422||
437|any|1529916727.141479622|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369754|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
438|any|1529916727.143911054|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|175645|2856|1|908369464|63||1||||0||2||3485921993||||6246007917517431391|1|467510|422||
439|any|1529916727.153771438|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|178501|2856|1|908369471|63||1||||0||2||3485921993||||6246007917517434247|1|470366|422||
440|any|1529916727.156049614|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369767|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
441|any|1529916727.165744754|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369777|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
442|any|1529916727.165747322|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|181357|1428|1|908369506|63||1||||0||2|3018291375|3485921993|181357|1428||6246007917517437103|1|473222|442||
443|any|1529916727.172982160|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|261878|2856|1|908369530|269||1||||0||2|3018292803|3485921993|261878|49676||6246007917517438531|1|474650|443||
444|any|1529916727.178293836|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,1,1,5,30|1|0|161365|908369789|242||1||||0||2||3018056667||||13300256311687443145|238514|1|||
445|any|1529916727.183895740|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|264734|2856|1|908369533|269||1||||0||2||3485921993||||6246007917517441387|1|477506|443||
446|any|1529916727.196538415|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|267590|2856|1|908369535|269||1||||0||2||3485921993||||6246007917517444243|1|480362|443||
447|any|1529916727.207934519|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|270446|2856|1|908369543|269||1||||0||2||3485921993||||6246007917517447099|1|483218|443||
448|any|1529916727.222083318|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|273302|2856|1|908369545|269||1||||0||2||3485921993||||6246007917517449955|1|486074|443||
449|any|1529916727.243594074|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|279014|2856|1|908369555|269||1||||0||2||3485921993||||6246007917517455667|1|491786|443||
450|any|1529916727.254936052|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369867|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
451|any|1529916727.254934951|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|281870|2856|1|908369558|269||1||||0||2||3485921993||||6246007917517458523|1|494642|443||
452|any|1529916727.265387492|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369878|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
453|any|1529916727.267660084|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|284726|2856|1|908369560|269||1||||0||2||3485921993||||6246007917517461379|1|497498|443||
454|any|1529916727.280100120|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|287582|2856|1|908369568|269||1||||0||2||3485921993||||6246007917517464235|1|500354|443||
455|any|1529916727.291390725|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369904|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
456|any|1529916727.291393245|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|290438|2856|1|908369570|269||1||||0||2||3485921993||||6246007917517467091|1|503210|443||
457|any|1529916727.302762082|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369915|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
458|any|1529916727.302764641|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|293294|2856|1|908369581|269||1||||0||2||3485921993||||6246007917517469947|1|506066|443||
459|any|1529916727.314323590|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369926|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
460|any|1529916727.316590271|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|296150|2856|1|908369584|269||1||||0||2||3485921993||||6246007917517472803|1|508922|443||
461|any|1529916727.327527880|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369940|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
462|any|1529916727.327530707|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|299006|2856|1|908369592|269||1||||0||2||3485921993||||6246007917517475659|1|511778|443||
463|any|1529916727.337825691|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369951|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
464|any|1529916727.340056150|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|301862|2856|1|908369640|269||1||||0||2||3485921993||||6246007917517478515|1|514634|443||
465|any|1529916727.352043581|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369964|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
466|any|1529916727.352046451|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|304718|2856|1|908369644|269||1||||0||2||3485921993||||6246007917517481371|1|517490|443||
467|any|1529916727.362571122|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369976|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
468|any|1529916727.362573459|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|307574|2856|1|908369646|269||1||||0||2||3485921993||||6246007917517484227|1|520346|443||
469|any|1529916727.372588379|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908369986|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
470|any|1529916727.377084543|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000018|1,1,8,30|310430|1124|1|908369649|269||1||||0||2||3485921993||||6246007917517487083|1|523202|443||
471|any|1529916727.381598229|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|311554|2856|1|908369811|226||1||||0||2|3018342479|3485921993|311554|64260||6246007917517488207|1|524326|471||
472|any|1529916727.388433587|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370001|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
473|any|1529916727.392982015|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370005|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
474|any|1529916727.392984459|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|314410|2856|1|908369813|226||1||||0||2||3485921993||||6246007917517491063|1|527182|471||
475|any|1529916727.404312889|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370017|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
476|any|1529916727.406578063|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|317266|2856|1|908369816|226||1||||0||2||3485921993||||6246007917517493919|1|530038|471||
477|any|1529916727.415814968|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|320122|2856|1|908369818|226||1||||0||2||3485921993||||6246007917517496775|1|532894|471||
478|any|1529916727.418181152|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370030|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
479|any|1529916727.427233241|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370039|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
480|any|1529916727.427235726|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|322978|2856|1|908369820|226||1||||0||2||3485921993||||6246007917517499631|1|535750|471||
481|any|1529916727.439057516|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370051|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
482|any|1529916727.439060978|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|325834|2856|1|908369822|226||1||||0||2||3485921993||||6246007917517502487|1|538606|471||
483|any|1529916727.450853825|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370063|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
484|any|1529916727.453106923|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|328690|2856|1|908369825|226||1||||0||2||3485921993||||6246007917517505343|1|541462|471||
485|any|1529916727.463210596|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370077|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
486|any|1529916727.465516754|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|331546|2856|1|908369827|226||1||||0||2||3485921993||||6246007917517508199|1|544318|471||
487|any|1529916727.475634561|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370089|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
488|any|1529916727.475633747|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|334402|2856|1|908369829|226||1||||0||2||3485921993||||6246007917517511055|1|547174|471||
489|any|1529916727.488284312|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370099|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
490|any|1529916727.488286835|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|337258|2856|1|908369831|226||1||||0||2||3485921993||||6246007917517513911|1|550030|471||
491|any|1529916727.498533167|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370112|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
492|any|1529916727.501362060|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|340114|2856|1|908369834|226||1||||0||2||3485921993||||6246007917517516767|1|552886|471||
493|any|1529916727.510959989|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|342970|2856|1|908369836|226||1||||0||2||3485921993||||6246007917517519623|1|555742|471||
494|any|1529916727.513787501|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370125|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
495|any|1529916727.521078562|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370135|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
496|any|1529916727.523352737|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|345826|2856|1|908369838|226||1||||0||2||3485921993||||6246007917517522479|1|558598|471||
497|any|1529916727.533524594|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370147|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
498|any|1529916727.535802862|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|348682|2856|1|908369841|226||1||||0||2||3485921993||||6246007917517525335|1|561454|471||
499|any|1529916727.545963978|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370159|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
500|any|1529916727.551077855|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|351538|2856|1|908369843|226||1||||0||2||3485921993||||6246007917517528191|1|564310|471||
501|any|1529916727.558747117|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|354394|2856|1|908369846|226||1||||0||2||3485921993||||6246007917517531047|1|567166|471||
502|any|1529916727.563322260|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370175|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
503|any|1529916727.571195542|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370182|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
504|any|1529916727.571194932|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|357250|2856|1|908369848|226||1||||0||2||3485921993||||6246007917517533903|1|570022|471||
505|any|1529916727.583081132|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370195|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
506|any|1529916727.585352690|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|360106|2856|1|908369850|226||1||||0||2||3485921993||||6246007917517536759|1|572878|471||
507|any|1529916727.596778241|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|362962|2856|1|908369853|226||1||||0||2||3485921993||||6246007917517539615|1|575734|471||
508|any|1529916727.608052907|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370220|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
509|any|1529916727.610307869|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|365818|2856|1|908369855|226||1||||0||2||3485921993||||6246007917517542471|1|578590|471||
510|any|1529916727.620879390|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370234|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
511|any|1529916727.624053026|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|368674|2856|1|908369858|226||1||||0||2||3485921993||||6246007917517545327|1|581446|471||
512|any|1529916727.631395460|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|371530|2856|1|908369860|226||1||||0||2||3485921993||||6246007917517548183|1|584302|471||
513|any|1529916727.635968925|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370248|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
514|any|1529916727.643861775|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370255|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
515|any|1529916727.646107945|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|374386|1428|1|908369862|226||1||||0||2||3485921993||||6246007917517551039|1|587158|471||
516|any|1529916727.651107984|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|161365|2856|1|908369889|114||1||||0||2||3485921993||||6246007917517417111|1|453230|422||
517|any|1529916727.658368168|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370270|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
518|any|1529916727.663003779|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|182785|908370275|386||1||||0||2||3018056667||||13300256311687443145|238514|1|||
519|any|1529916727.663006222|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|182785|1428|1|908369944|110||1||||0||2|3018406739|3485921993|182785|1428||6246007917517552467|1|588586|519||
520|any|1529916727.670480794|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|375814|2856|1|908369959|226||1||||0||2|3018408167|3485921993|375814|64260||6246007917517553895|1|590014|520||
521|any|1529916727.674974517|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|713728|0x00000010|1,1,8,30|1|0|184213|908370287|343||1||||0||2||3018056667||||13300256311687443145|238514|1|||
522|any|1529916727.681811979|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370294|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
523|any|1529916727.681814420|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|378670|2856|1|908369961|226||1||||0||2||3485921993||||6246007917517556751|1|592870|520||
524|any|1529916727.691190100|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|381526|2856|1|908369966|226||1||||0||2||3485921993||||6246007917517559607|1|595726|520||
525|any|1529916727.693521880|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370305|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
526|any|1529916727.702031650|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|713728|0x00000010|1,1,8,1,1,5,30|1|0|276158|908370315|267||1||||0||2||3018056667||||13300256311687443145|238514|1|||
