packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tcptsval|tcptsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|subtype|dss_dsn|dss_rawack|dss_ssn|dss_length|addrid|dsnraw64|dack|dsn|related_mappings|reinjection_of|reinjected_in
1256|any|19.047473011|1529916734.804919784|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|828998|908377364|811||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1257|any|19.049891544|1529916734.807338317|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|854702|2856|1|908376585|139||1||||0||2||3485921993||||6246007917518686895|1|1723014|1230||
1258|any|19.057211661|1529916734.814658434|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|831854|908377376|821||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1259|any|19.062357205|1529916734.819803978|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|857558|2856|1|908376587|139||1||||0||2||3485921993||||6246007917518689751|1|1725870|1230||
1260|any|19.069232619|1529916734.826679392|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|834710|908377387|829||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1261|any|19.074235063|1529916734.831681836|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|860414|2856|1|908376592|139||1||||0||2||3485921993||||6246007917518692607|1|1728726|1230||
1262|any|19.083958376|1529916734.841405149|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|837566|908377401|841||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1263|any|19.086083755|1529916734.843530528|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|863270|2856|1|908376595|139||1||||0||2||3485921993||||6246007917518695463|1|1731582|1230||
1264|any|19.095740758|1529916734.853187531|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|840422|908377411|846||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1265|any|19.099167200|1529916734.856613973|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|866126|2856|1|908376597|139||1||||0||2||3485921993||||6246007917518698319|1|1734438|1230||
1266|any|19.103303073|1529916734.860749846|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|843278|908377423|855||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1267|any|19.110597990|1529916734.868044763|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|868982|2856|1|908376600|139||1||||0||2||3485921993||||6246007917518701175|1|1737294|1230||
1268|any|19.115195764|1529916734.872642537|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|846134|908377434|862||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1269|any|19.123596069|1529916734.881042842|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|871838|2856|1|908376604|139||1||||0||2||3485921993||||6246007917518704031|1|1740150|1230||
1270|any|19.127719715|1529916734.885166488|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|848990|908377448|873||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1271|any|19.135023687|1529916734.892470460|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|874694|2856|1|908376607|139||1||||0||2||3485921993||||6246007917518706887|1|1743006|1230||
1272|any|19.141908047|1529916734.899354820|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|851846|908377460|881||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1273|any|19.147069054|1529916734.904515827|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|877550|2856|1|908376609|139||1||||0||2||3485921993||||6246007917518709743|1|1745862|1230||
1274|any|19.149326813|1529916734.906773586|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|854702|908377470|888||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1275|any|19.159484148|1529916734.916930921|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|880406|1352|1|908376612|139||1||||0||2||3485921993||||6246007917518712599|1|1748718|1230||
1276|any|19.166241347|1529916734.923688120|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|857558|908377484|899||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1277|any|19.175981711|1529916734.933428484|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|860414|908377494|907||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1278|any|19.193961170|1529916734.951407943|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|587753|1428|1|908377563|1272||1||||0||2||3485921993||||6246007917518391299|1|1427418|1016||
1279|any|19.223880271|1529916734.981327044|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|871838|908377543|914||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1280|any|19.232853796|1529916734.990300569|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|606317|2856|1|908377600|1271||1||||0||2||3485921993||||6246007917518409863|1|1445982|1051||
1281|any|19.273830999|1529916735.031277772|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|596480|0x00000010|1,1,8,30|1|0|881758|908377592|953||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1282|any|19.308192090|1529916735.065638863|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|606317|908377626|63||1||||0||2||3018971743||||13300256311687443145|1153590|1|||
1283|any|19.325787496|1529916735.083234269|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|458752|0x00000010|1,1,8,1,1,5,30|1|0|31417|908377664|46||1||||0||2||3019360647||||13300256311687443145|1542494|1|||
1284|any|19.325788247|1529916735.083235020|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|454656|0x00000010|1,1,8,1,1,5,30|1|0|31417|908377664|46||1||||0||2||3019366359||||13300256311687443145|1548206|1|||
1285|any|19.325788872|1529916735.083235645|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|452608|0x00000010|1,1,8,1,1,5,30|1|0|31417|908377664|46||1||||0||2||3019369215||||13300256311687443145|1551062|1|||
1286|any|19.325789462|1529916735.083236235|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|450560|0x00000010|1,1,8,1,1,5,30|1|0|31417|908377664|46||1||||0||2||3019372071||||13300256311687443145|1553918|1|||
1287|any|19.325790133|1529916735.083236906|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|448000|0x00000010|1,1,8,1,1,5,30|1|0|31417|908377664|46||1||||0||2||3019375519||||13300256311687443145|1557366|1|||
1288|any|19.343685616|1529916735.101132389|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|448000|0x00000010|1,1,8,1,1,5,30|1|0|756929|908377664|64||1||||0||2||3019375519||||13300256311687443145|1557366|1|||
1289|any|20.246864690|1529916736.004311463|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|756929|2856|1|908378614|1653||1||||0||2||3485921993||||6246007917518558375|1|1594494|1143||1565
1290|any|20.341726404|1529916736.099173177|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|683008|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019378375||||13300256311687443145|1560222|1|||
1291|any|20.341727224|1529916736.099173997|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|678912|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019384087||||13300256311687443145|1565934|1|||
1292|any|20.341727825|1529916736.099174598|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|676352|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019386943||||13300256311687443145|1568790|1|||
1293|any|20.341728392|1529916736.099175165|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|672256|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019392655||||13300256311687443145|1574502|1|||
1294|any|20.341728985|1529916736.099175758|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|668160|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019398367||||13300256311687443145|1580214|1|||
1295|any|20.341729537|1529916736.099176310|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|666112|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019401223||||13300256311687443145|1583070|1|||
1296|any|20.341730095|1529916736.099176868|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|664064|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019404079||||13300256311687443145|1585926|1|||
1297|any|20.341730650|1529916736.099177423|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|659968|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019409791||||13300256311687443145|1591638|1|||
1298|any|20.341731218|1529916736.099177991|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|657920|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019412647||||13300256311687443145|1594494|1|||
1299|any|20.341731795|1529916736.099178568|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|655872|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019415503||||13300256311687443145|1597350|1|||
1300|any|20.341732382|1529916736.099179155|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|653824|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019418359||||13300256311687443145|1600206|1|||
1301|any|20.341732934|1529916736.099179707|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|651776|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019421215||||13300256311687443145|1603062|1|||
1302|any|20.341733538|1529916736.099180311|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|643584|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019432639||||13300256311687443145|1614486|1|||
1303|any|20.341734098|1529916736.099180871|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|641536|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019435495||||13300256311687443145|1617342|1|||
1304|any|20.341734642|1529916736.099181415|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|639488|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019438351||||13300256311687443145|1620198|1|||
1305|any|20.341735183|1529916736.099181956|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|638464|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019439779||||13300256311687443145|1621626|1|||
1306|any|20.341735758|1529916736.099182531|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|636416|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019442635||||13300256311687443145|1624482|1|||
1307|any|20.341736311|1529916736.099183084|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|633856|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019445491||||13300256311687443145|1627338|1|||
1308|any|20.341736960|1529916736.099183733|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|631808|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019448347||||13300256311687443145|1630194|1|||
1309|any|20.342887153|1529916736.100333926|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|629760|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019451203||||13300256311687443145|1633050|1|||
1310|any|20.342887918|1529916736.100334691|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|625664|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019456915||||13300256311687443145|1638762|1|||
1311|any|20.342888594|1529916736.100335367|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|623616|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019459771||||13300256311687443145|1641618|1|||
1312|any|20.344019459|1529916736.101466232|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|621568|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019462627||||13300256311687443145|1644474|1|||
1313|any|20.344020135|1529916736.101466908|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|619520|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019465483||||13300256311687443145|1647330|1|||
1314|any|20.346186686|1529916736.103633459|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|615424|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019471195||||13300256311687443145|1653042|1|||
1315|any|20.346187423|1529916736.103634196|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|613376|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019474051||||13300256311687443145|1655898|1|||
1316|any|20.346188033|1529916736.103634806|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|605184|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019485475||||13300256311687443145|1667322|1|||
1317|any|20.346188654|1529916736.103635427|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|601088|0x00000010|1,1,8,1,1,5,30|1|0|31417|908378680|46||1||||0||2||3019491187||||13300256311687443145|1673034|1|||
1318|any|20.359604394|1529916736.117051167|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|599040|0x00000010|1,1,8,30|1|0|838325|908378680|66||1||||0||2||3019568223||||13300256311687443145|1750070|1|||
1319|any|21.597328320|1529916737.354775093|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|881758|2100|1|908379967|2321||1||||0||2|3018971743|3485921993|881758|2100||6246007917518117471|1|1153590|1319|1128|
1320|any|21.624537514|1529916737.381984287|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|883858|76|1|908379992|2321||1||||0||2|3019568223|3485921993|883858|76||6246007917518713951|1|1750070|1320||
1321|any|21.639376038|1529916737.396822811|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|883934|2856|1|908380007|2321||1||||0||2|3019568299|3485921993|883934|64260||6246007917518714027|1|1750146|1321||
1322|any|21.646293951|1529916737.403740724|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|886790|2856|1|908380009|2321||1||||0||2||3485921993||||6246007917518716883|1|1753002|1321||
1323|any|21.658192123|1529916737.415638896|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|889646|2856|1|908380011|2321||1||||0||2||3485921993||||6246007917518719739|1|1755858|1321||
1324|any|21.669778351|1529916737.427225124|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|892502|2856|1|908380013|2321||1||||0||2||3485921993||||6246007917518722595|1|1758714|1321||
1325|any|21.681868342|1529916737.439315115|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|895358|2856|1|908380016|2321||1||||0||2||3485921993||||6246007917518725451|1|1761570|1321||
1326|any|21.695253315|1529916737.452700088|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|898214|2856|1|908380018|2321||1||||0||2||3485921993||||6246007917518728307|1|1764426|1321||
1327|any|21.707348558|1529916737.464795331|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|901070|2856|1|908380020|2321||1||||0||2||3485921993||||6246007917518731163|1|1767282|1321||
1328|any|21.711986292|1529916737.469433065|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|883858|908380030|63||1||||0||2||3019568223||||13300256311687443145|1750070|1|||
1329|any|21.719535583|1529916737.476982356|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|903926|2856|1|908380023|2321||1||||0||2||3485921993||||6246007917518734019|1|1770138|1321||
1330|any|21.719553319|1529916737.477000092|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|733184|0x00000010|1,1,8,1,1,5,30|1|0|31417|908380058|46||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1331|any|21.729384971|1529916737.486831744|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|906782|2856|1|908380025|2321||1||||0||2||3485921993||||6246007917518736875|1|1772994|1321||
1332|any|21.738423278|1529916737.495870051|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|883934|908380058|66||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1333|any|21.743019316|1529916737.500466089|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|909638|2856|1|908380027|2321||1||||0||2||3485921993||||6246007917518739731|1|1775850|1321||
1334|any|21.754819027|1529916737.512265800|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|912494|2856|1|908380035|2321||1||||0||2||3485921993||||6246007917518742587|1|1778706|1321||
1335|any|21.754817966|1529916737.512264739|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|886790|908380071|64||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1336|any|21.761739488|1529916737.519186261|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|889646|908380079|70||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1337|any|21.766667930|1529916737.524114703|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|915350|2856|1|908380037|2321||1||||0||2||3485921993||||6246007917518745443|1|1781562|1321||
1338|any|21.773599250|1529916737.531046023|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|892502|908380091|80||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1339|any|21.778601771|1529916737.536048544|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|918206|2856|1|908380039|2321||1||||0||2||3485921993||||6246007917518748299|1|1784418|1321||
1340|any|21.785965672|1529916737.543412445|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|895358|908380103|90||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1341|any|21.790512452|1529916737.547959225|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|921062|2856|1|908380042|2321||1||||0||2||3485921993||||6246007917518751155|1|1787274|1321||
1342|any|21.797378066|1529916737.554824839|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|898214|908380114|98||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1343|any|21.803367059|1529916737.560813832|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|923918|2856|1|908380044|2321||1||||0||2||3485921993||||6246007917518754011|1|1790130|1321||
1344|any|21.807764407|1529916737.565211180|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|901070|908380126|108||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1345|any|21.815103592|1529916737.572550365|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|926774|2856|1|908380046|2321||1||||0||2||3485921993||||6246007917518756867|1|1792986|1321||
1346|any|21.822452919|1529916737.579899692|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|903926|908380140|120||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1347|any|21.825556048|1529916737.583002821|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|929630|2856|1|908380049|2321||1||||0||2||3485921993||||6246007917518759723|1|1795842|1321||
1348|any|21.835097672|1529916737.592544445|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|906782|908380152|129||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1349|any|21.838177361|1529916737.595624134|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|932486|2856|1|908380051|2321||1||||0||2||3485921993||||6246007917518762579|1|1798698|1321||
1350|any|21.843461671|1529916737.600908444|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|909638|908380162|137||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1351|any|21.851114262|1529916737.608561035|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|935342|2856|1|908380053|2321||1||||0||2||3485921993||||6246007917518765435|1|1801554|1321||
1352|any|21.856068326|1529916737.613515099|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|912494|908380176|149||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1353|any|21.863183408|1529916737.620630181|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|938198|2856|1|908380055|2321||1||||0||2||3485921993||||6246007917518768291|1|1804410|1321||
1354|any|21.870840782|1529916737.628287555|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|915350|908380186|151||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1355|any|21.873398437|1529916737.630845210|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|941054|2856|1|908380076|2321||1||||0||2||3485921993||||6246007917518771147|1|1807266|1321||
1356|any|21.881744536|1529916737.639191309|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|918206|908380199|162||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1357|any|21.886386915|1529916737.643833688|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|943910|2856|1|908380084|2321||1||||0||2||3485921993||||6246007917518774003|1|1810122|1321||
1358|any|21.893946336|1529916737.651393109|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|921062|908380212|173||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1359|any|21.898634282|1529916737.656081055|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|946766|1428|1|908380086|2321||1||||0||2||3485921993||||6246007917518776859|1|1812978|1321||
1360|any|21.905446979|1529916737.662893752|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|948194|2856|1|908380112|2321||1||||0||2|3019632559|3485921993|948194|64260||6246007917518778287|1|1814406|1360||
1361|any|21.908277289|1529916737.665724062|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|923918|908380224|182||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1362|any|21.922535216|1529916737.679981989|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|951050|2856|1|908380119|2321||1||||0||2||3485921993||||6246007917518781143|1|1817262|1360||
1363|any|21.924902144|1529916737.682348917|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|926774|908380237|193||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1364|any|21.927061410|1529916737.684508183|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|929630|908380247|201||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1365|any|21.929591382|1529916737.687038155|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|953906|2856|1|908380122|2321||1||||0||2||3485921993||||6246007917518783999|1|1820118|1360||
1366|any|21.939566511|1529916737.697013284|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|733184|0x00000010|1,1,8,30|1|0|932486|908380258|209||1||||0||2||3019568299||||13300256311687443145|1750146|1|||
1367|any|21.942175326|1529916737.699622099|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|956762|2856|1|908380124|2321||1||||0||2||3485921993||||6246007917518786855|1|1822974|1360||
