packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tsval|tsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|dack|dsn
968|any|16.382498382|1529916732.13995|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|504841|2856|1|91|91||1||||0||1|1293534
969|any|16.396713221|1529916732.15416|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|507697|2856|1|91|91||1||||0||1|1296390
970|any|16.406977872|1529916732.16442|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|510553|2856|1|91|91||1||||0||1|1299246
971|any|16.417993529|1529916732.17544|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|513409|2856|1|91|91||1||||0||1|1302102
972|any|16.424740531|1529916732.18219|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|619520|0x00000010|1,1,8,30|1|0|490561|865|865||1||||0||745362|1
973|any|16.4319582|1529916732.18941|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|516265|2856|1|91|91||1||||0||1|1304958
974|any|16.444094358|1529916732.20154|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|519121|2856|1|91|91||1||||0||1|1307814
975|any|16.455153041|1529916732.2126|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000018|1,1,8,30|521977|88|1|91|91||1||||0||1|1310670
976|any|16.45524678|1529916732.21269|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|750894|2856|1|72|72||1||||0||1|1310758
977|any|16.46791373|1529916732.22536|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|753750|2856|1|72|72||1||||0||1|1313614
978|any|16.471678793|1529916732.22913|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|619520|0x00000010|1,1,8,30|1|0|501985|888|888||1||||0||745362|1
979|any|16.480924194|1529916732.23837|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|756606|2856|1|72|72||1||||0||1|1316470
980|any|16.492389419|1529916732.24984|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|759462|2856|1|72|72||1||||0||1|1319326
981|any|16.5033447|1529916732.26079|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|762318|2856|1|72|72||1||||0||1|1322182
982|any|16.516491955|1529916732.27394|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|765174|2856|1|72|72||1||||0||1|1325038
983|any|16.527886296|1529916732.28533|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|768030|2856|1|72|72||1||||0||1|1327894
984|any|16.538936982|1529916732.29638|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|770886|2856|1|72|72||1||||0||1|1330750
985|any|16.551095603|1529916732.30854|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|773742|2856|1|72|72||1||||0||1|1333606
986|any|16.562997136|1529916732.32044|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|776598|2856|1|72|72||1||||0||1|1336462
987|any|16.567101146|1529916732.32455|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|619520|0x00000010|1,1,8,30|1|0|522065|961|961||1||||0||745362|1
988|any|16.574961863|1529916732.33241|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|779454|2856|1|72|72||1||||0||1|1339318
989|any|16.588421411|1529916732.34587|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|782310|2856|1|72|72||1||||0||1|1342174
990|any|16.60062582|1529916732.35807|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|785166|2856|1|72|72||1||||0||1|1345030
991|any|16.607820228|1529916732.36527|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,30|1|0|762318|866|866||1||||0||745362|1
992|any|16.610994483|1529916732.36844|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|788022|2856|1|72|72||1||||0||1|1347886
993|any|16.62455229|1529916732.382|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|790878|2856|1|72|72||1||||0||1|1350742
994|any|16.635815619|1529916732.39326|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|793734|2856|1|72|72||1||||0||1|1353598
995|any|16.647333261|1529916732.40478|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|796590|2856|1|72|72||1||||0||1|1356454
996|any|16.652988425|1529916732.41044|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,30|1|0|773742|905|905||1||||0||745362|1
997|any|16.659893888|1529916732.41734|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|799446|2856|1|72|72||1||||0||1|1359310
998|any|16.67136949|1529916732.42882|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|802302|2420|1|72|72||1||||0||1|1362166
999|any|16.681474128|1529916732.43892|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|804722|1428|1|128|128||1||||0||1|745362
1000|any|16.701353761|1529916732.4588|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,30|1|0|785166|946|946||1||||0||745362|1
1001|any|16.757970309|1529916732.51542|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,30|1|0|793734|985|985||1||||0||745362|1
1002|any|16.761539353|1529916732.51899|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,1,1,5,30|1|0|793734|985|985||1||||0||745362|1
1003|any|16.773376347|1529916732.53082|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,1,1,5,30|1|0|793734|985|985||1||||0||745362|1
1004|any|16.784549199|1529916732.542|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,1,1,5,30|1|0|793734|985|985||1||||0||745362|1
1005|any|16.791523504|1529916732.54897|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|619520|0x00000010|1,1,8,1,1,5,30|1|0|793734|985|985||1||||0||745362|1
1006|any|17.081574057|1529916732.83902|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|793734|2856|1|351|351||1||||0||1|1353598
1007|any|17.193238022|1529916732.95068|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|618496|0x00000010|1,1,8,30|1|0|522065|961|961||1||||0||746790|1
1008|any|17.19327989|1529916732.95073|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|618496|0x00000010|1,1,8,30|1|0|806150|64|64||1||||0||746790|1
1009|any|17.228208714|1529916732.98566|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|806150|1428|1|366|366||1||||0||1|746790
1010|any|17.250994396|1529916733.00844|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|522065|1428|1|411|411||1||||0||1|746790
1011|any|17.339069658|1529916733.09652|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|617472|0x00000010|1,1,8,30|1|0|522065|961|961||1||||0||748218|1
1012|any|17.339111706|1529916733.09656|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|617472|0x00000010|1,1,8,30|1|0|807578|62|62||1||||0||748218|1
1013|any|17.36418547|1529916733.12163|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|617472|0x00000010|1,1,8,30|1|0|523493|62|62||1||||0||748218|1
1014|any|17.404109642|1529916733.16156|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|523493|1428|1|119|119||1||||0||1|748218
1015|any|17.515965914|1529916733.27341|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|386048|0x00000010|1,1,8,30|1|0|524921|63|63||1||||0||1153590|1
1016|any|17.54411995|1529916733.30157|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|524921|2856|1|141|141||1||||0||1|1364586
1017|any|17.550832562|1529916733.30828|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|527777|2856|1|141|141||1||||0||1|1367442
1018|any|17.562062818|1529916733.31951|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|530633|2856|1|141|141||1||||0||1|1370298
1019|any|17.575529467|1529916733.33298|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|533489|2856|1|141|141||1||||0||1|1373154
1020|any|17.586748918|1529916733.3442|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|536345|2856|1|141|141||1||||0||1|1376010
1021|any|17.599560566|1529916733.35701|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|539201|2856|1|141|141||1||||0||1|1378866
1022|any|17.611289092|1529916733.36874|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|542057|2856|1|141|141||1||||0||1|1381722
1023|any|17.623213442|1529916733.38066|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|544913|2856|1|141|141||1||||0||1|1384578
1024|any|17.634976703|1529916733.39242|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|547769|2856|1|141|141||1||||0||1|1387434
1025|any|17.646824882|1529916733.40427|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|550625|2856|1|141|141||1||||0||1|1390290
1026|any|17.658621242|1529916733.41607|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|553481|2856|1|141|141||1||||0||1|1393146
1027|any|17.663261554|1529916733.42071|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|527777|63|63||1||||0||1153590|1
1028|any|17.665533123|1529916733.42298|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|530633|69|69||1||||0||1153590|1
1029|any|17.670503776|1529916733.42795|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|556337|2856|1|141|141||1||||0||1|1396002
1030|any|17.676793934|1529916733.43424|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|533489|79|79||1||||0||1153590|1
1031|any|17.682128047|1529916733.43957|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|559193|2856|1|141|141||1||||0||1|1398858
1032|any|17.692153258|1529916733.4496|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|536345|91|91||1||||0||1153590|1
1033|any|17.694504887|1529916733.45195|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|562049|2856|1|141|141||1||||0||1|1401714
1034|any|17.699368485|1529916733.45682|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|539201|97|97||1||||0||1153590|1
1035|any|17.707017472|1529916733.46446|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|564905|2856|1|141|141||1||||0||1|1404570
1036|any|17.714688369|1529916733.47214|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|542057|109|109||1||||0||1153590|1
1037|any|17.718075727|1529916733.47552|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|567761|2856|1|141|141||1||||0||1|1407426
1038|any|17.726598395|1529916733.48405|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|544913|119|119||1||||0||1153590|1
1039|any|17.732125317|1529916733.48957|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|570617|2856|1|141|141||1||||0||1|1410282
1040|any|17.73458754|1529916733.49203|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|547769|128|128||1||||0||1153590|1
1041|any|17.742290049|1529916733.49974|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|573473|2856|1|141|141||1||||0||1|1413138
1042|any|17.747098472|1529916733.50455|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|550625|138|138||1||||0||1153590|1
1043|any|17.754791397|1529916733.51224|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|576329|2856|1|141|141||1||||0||1|1415994
1044|any|17.757221325|1529916733.51467|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|553481|146|146||1||||0||1153590|1
1045|any|17.767297789|1529916733.52474|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|579185|2856|1|141|141||1||||0||1|1418850
1046|any|17.769714439|1529916733.52716|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|556337|156|156||1||||0||1153590|1
1047|any|17.780170448|1529916733.53762|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|582041|2856|1|141|141||1||||0||1|1421706
1048|any|17.788713101|1529916733.54616|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|559193|166|166||1||||0||1153590|1
1049|any|17.791876912|1529916733.54932|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|584897|2856|1|141|141||1||||0||1|1424562
1050|any|17.794303689|1529916733.55175|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|562049|174|174||1||||0||1153590|1
1051|any|17.802289813|1529916733.55974|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|589181|2856|1|141|141||1||||0||1|1428846
1052|any|17.804970609|1529916733.56242|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|564905|185|185||1||||0||1153590|1
1053|any|17.815712592|1529916733.57316|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|592037|2856|1|141|141||1||||0||1|1431702
1054|any|17.818241416|1529916733.57569|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|567761|195|195||1||||0||1153590|1
1055|any|17.8263103|1529916733.58376|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|594893|2856|1|141|141||1||||0||1|1434558
1056|any|17.830297693|1529916733.58774|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|570617|206|206||1||||0||1153590|1
1057|any|17.839333679|1529916733.59678|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|597749|2856|1|141|141||1||||0||1|1437414
1058|any|17.84475382|1529916733.6022|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|573473|216|216||1||||0||1153590|1
1059|any|17.850396059|1529916733.60784|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|600605|2856|1|141|141||1||||0||1|1440270
1060|any|17.856726317|1529916733.61417|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|576329|225|225||1||||0||1153590|1
1061|any|17.862491531|1529916733.61994|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|603461|2856|1|141|141||1||||0||1|1443126
1062|any|17.866960914|1529916733.62441|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|579185|234|234||1||||0||1153590|1
1063|any|17.874523049|1529916733.63197|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|606317|2856|1|141|141||1||||0||1|1445982
1064|any|17.87981941|1529916733.63727|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|582041|245|245||1||||0||1153590|1
1065|any|17.888550797|1529916733.646|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|609173|2856|1|141|141||1||||0||1|1448838
1066|any|17.897949327|1529916733.6554|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|584897|254|254||1||||0||1153590|1
1067|any|17.900335534|1529916733.65778|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|612029|2856|1|141|141||1||||0||1|1451694
1068|any|17.905114469|1529916733.66256|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,30|1|0|587753|266|266||1||||0||1153590|1
1069|any|17.910428362|1529916733.66788|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|614885|2856|1|141|141||1||||0||1|1454550
1070|any|17.913662492|1529916733.67111|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1071|any|17.922459513|1529916733.67991|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|617741|2856|1|141|141||1||||0||1|1457406
1072|any|17.928642977|1529916733.68609|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1073|any|17.935834378|1529916733.69328|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|620597|2856|1|141|141||1||||0||1|1460262
1074|any|17.940834819|1529916733.69828|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1075|any|17.948108988|1529916733.70556|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|623453|2856|1|141|141||1||||0||1|1463118
1076|any|17.950514852|1529916733.70796|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1077|any|17.96074179|1529916733.71819|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|626309|2856|1|141|141||1||||0||1|1465974
1078|any|17.960744624|1529916733.71819|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1079|any|17.972472963|1529916733.72992|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|629165|2856|1|141|141||1||||0||1|1468830
1080|any|17.975206144|1529916733.73265|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1081|any|17.983788741|1529916733.74124|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|632021|2856|1|141|141||1||||0||1|1471686
1082|any|17.994800063|1529916733.75225|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|634877|2856|1|141|141||1||||0||1|1474542
1083|any|18.00211197|1529916733.75956|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1084|any|18.006993922|1529916733.76444|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|637733|2856|1|141|141||1||||0||1|1477398
1085|any|18.012069157|1529916733.76952|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1086|any|18.019461902|1529916733.77691|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|640589|2856|1|141|141||1||||0||1|1480254
1087|any|18.024355795|1529916733.7818|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1088|any|18.03151748|1529916733.78896|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|643445|2856|1|141|141||1||||0||1|1483110
1089|any|18.033928369|1529916733.79138|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1090|any|18.043623675|1529916733.80107|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|646301|2856|1|141|141||1||||0||1|1485966
1091|any|18.048625499|1529916733.80607|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1092|any|18.054604091|1529916733.81205|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|649157|2856|1|141|141||1||||0||1|1488822
1093|any|18.06309139|1529916733.82054|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1094|any|18.068005296|1529916733.82545|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|652013|1428|1|141|141||1||||0||1|1491678
1095|any|18.072970716|1529916733.83042|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|653441|2856|1|141|141||1||||0||1|1493106
1096|any|18.075374834|1529916733.83282|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1097|any|18.085222525|1529916733.84267|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|656297|2856|1|141|141||1||||0||1|1495962
1098|any|18.09768772|1529916733.85513|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|659153|2856|1|141|141||1||||0||1|1498818
1099|any|18.097686224|1529916733.85513|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1100|any|18.107330253|1529916733.86478|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1101|any|18.109691306|1529916733.86714|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|662009|2856|1|141|141||1||||0||1|1501674
1102|any|18.121884858|1529916733.87933|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|664865|2856|1|141|141||1||||0||1|1504530
1103|any|18.121882673|1529916733.87933|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1104|any|18.133745661|1529916733.89119|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|667721|2856|1|141|141||1||||0||1|1507386
1105|any|18.1337431|1529916733.89119|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
1106|any|18.143530506|1529916733.90098|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|596480|0x00000010|1,1,8,1,1,5,30|1|0|587753|266|266||1||||0||1153590|1
